source,subject,price_raw,price_clean,battery_status
otodien_B2C,VinFast VF9 2026 Plus - 6000 km,1 tỷ 280 triệu,1280000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 17000 km,600 triệu,600000000,Cần phân tích
otodien_B2C,VinFast VFe34 2022 - 60000 km,349 triệu,349000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 30000 km,590 triệu,590000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 20000 km,240 triệu,240000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 5000 km,255 triệu,255000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 10000 km,650 triệu,650000000,Cần phân tích
otodien_B2C,"Vf9 Plus 2024, 7c xanh rêu nội thất đen mới",1 tỷ 240 triệu,1240000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Lux Plus - 9000 km,845 triệu,845000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 10000 km,660 triệu,660000000,Cần phân tích
otodien_B2C,VF9 plus 2026 pin catl trắng nt nâu - Xe mới 🔥,1 tỷ 375 triệu,1375000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Plus - 18000 km,790 triệu,790000000,Cần phân tích
otodien_B2C,VinFast VF7 2026 Plus - 10000 km,790 triệu,790000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 10000 km,294 triệu,294000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Plus - 14000 km,775 triệu,775000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 27000 km,625 triệu,625000000,Cần phân tích
otodien_B2C,VF3 2026 xe mới 100%,270 triệu,270000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 20000 km,650 triệu,650000000,Cần phân tích
otodien_B2C,VinFast VF3 2024 - 11000 km,235 triệu,235000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 28000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 5000 km,290 triệu,290000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Plus - 30000 km,674 triệu,674000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Plus - 68000 km,575 triệu,575000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Eco - 43000 km,670 triệu,670000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Plus - 20000 km,740 triệu,740000000,Cần phân tích
otodien_B2C,VF3 Eco mới 100% sx 2026,265 triệu,265000000,Cần phân tích
otodien_B2C,VinFast VF5 2023 Plus - 30000 km,355 triệu,355000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 49000 km,575 triệu,575000000,Cần phân tích
otodien_B2C,VinFast VF5 2024 Plus - 17000 km,380 triệu,380000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 61000 km,775 triệu,775000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Eco - 52000 km,670 triệu,670000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 44000 km,780 triệu,780000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 77000 km,800 triệu,800000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Eco - 49000 km,690 triệu,690000000,Cần phân tích
otodien_B2C,VinFast VF3 2026 - 7000 km,284 triệu,284000000,Cần phân tích
otodien_B2C,VinFast VF5 2024 Plus - 58000 km,370 triệu,370000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 70000 km,570 triệu,570000000,Cần phân tích
otodien_B2C,Sẵn 1 xe Minio greeen 2026 xe mới đky ra biển,175 triệu,175000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Eco - 40000 km,705 triệu,705000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Eco - 50000 km,695 triệu,695000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Plus - 13000 km,785 triệu,785000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Plus - 38000 km,775 triệu,775000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 58000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,VinFast VFe34 2022 - 17000 km,450 triệu,450000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Eco - 98000 km,595 triệu,595000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 30000 km,590 triệu,590000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 6000 km,1 tỷ 230 triệu,1230000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 28000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,VinFast VF7 2026 Plus - 10 km,795 triệu,795000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2026 - 24000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Eco - 98000 km,595 triệu,595000000,Cần phân tích
otodien_B2C,VinFast VF5 2023 Plus - 43000 km,370 triệu,370000000,Cần phân tích
otodien_B2C,VinFast VF5 2023 Plus - 29000 km,380 triệu,380000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Eco - 90000 km,595 triệu,595000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Plus - 15000 km,850 triệu,850000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 20000 km,650 triệu,650000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 17000 km,1 tỷ 269 triệu,1269000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 30000 km,405 triệu,405000000,Cần phân tích
otodien_B2C,VinFast VF5 2024 Plus - 50000 km,400 triệu,400000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus cũ - 80000 km,580 triệu,580000000,Cần phân tích
otodien_B2C,VinFast VF9 2023 Plus - 50000 km,799 triệu,799000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 cũ - 60000 km,655 triệu,655000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 47000 km,405 triệu,405000000,Cần phân tích
otodien_B2C,VinFast VF6 2026 Plus - 3000 km,624 triệu,624000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 30000 km,695 triệu,695000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Plus - 30000 km,695 triệu,695000000,Cần phân tích
otodien_B2C,VF7 plus Vin2026 có HUD màu trắng 1 cầu 🔥🔥,800 triệu,800000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Eco cũ - 67000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,VinFast VF9 2023 Plus - 48000 km,990 triệu,990000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 41000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 6000 km,424 triệu,424000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 32000 km,630 triệu,630000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 10000 km,430 triệu,430000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 7000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,VinFast VF8 2022 Plus - 42000 km,595 triệu,595000000,Cần phân tích
otodien_B2C,VinFast VF5 2025 Plus - 50000 km,410 triệu,410000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 20000 km,245 triệu,245000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 14000 km,1 tỷ 010 triệu,1010000000,Cần phân tích
otodien_B2C,VinFast VFe34 2021 - 31000 km,430 triệu,430000000,Cần phân tích
otodien_B2C,VinFast VFe34 2022 - 50000 km,430 triệu,430000000,Cần phân tích
otodien_B2C,🔥 VF8 SẴN XE GIAO NGAY TẠI ĐÀ LẠT – ƯU ĐÃI 18% 🔥,836 triệu,836000000,Cần phân tích
otodien_B2C,🔥 VF7 SẴN XE GIAO NGAY – ƯU ĐÃI 11% + FREE SẠC 🔥,679 triệu,679000000,Cần phân tích
otodien_B2C,💎 VINFAST VF6 – ƯU ĐÃI KHỦNG LÊN ĐẾN 11% 💎,593 triệu,593000000,Cần phân tích
otodien_B2C,VinFast VF5 2023 Plus - 33000 km,360 triệu,360000000,Cần phân tích
otodien_B2C,VinFast VF5 2023 Plus - 6000 km,320 triệu,320000000,Cần phân tích
otodien_B2C,⚡ VINFAST VF5 PLUS  – MIỄN PHÍ SẠC ĐẾN 2029 ⚡,455 triệu,455000000,Cần phân tích
otodien_B2C,🚗 VINFAST VF3 – CHỐT XE QUỐC DÂN – VI VU ĐÀ LẠT,260 triệu,260000000,Cần phân tích
otodien_B2C,💎VF MPV 7 – XE 7 CHỖ GIA ĐÌNH THÔNG MINH 💎,704 triệu,704000000,Cần phân tích
otodien_B2C,⚡ EC VAN – VỐN THẤP LÃI CAO – MIỄN PHÍ SẠC 2029 ⚡,245 triệu,245000000,Cần phân tích
otodien_B2C,💎 LIMO GREEN 2026 – ƯU ĐÃI ĐẾN 11% CHO BẠN 💎,644 triệu,644000000,Cần phân tích
otodien_B2C,VinFast VF6 2024 Plus - 49000 km,575 triệu,575000000,Cần phân tích
otodien_B2C,VinFast VF MPV7  - Giá chỉ từ 674 triệu đồng,675 triệu,675000000,Cần phân tích
otodien_B2C,"⚡ MINIO GREEN – CỖ MÁY IN TIỀN – VỐN THẤP, LÃI CAO",231 triệu,231000000,Cần phân tích
otodien_B2C,"🚙✨ VinFast VF9 – CÓ SẴN KHO, GIAO XE NGAY!",1 tỷ 299 triệu,1299000000,Cần phân tích
otodien_B2C,🚗⚡ VinFast VF5 Plus – CÓ SẴN GIAO NGAY TẠI HÀ NỘI,455 triệu,455000000,Cần phân tích
otodien_B2C,🔥 VF9 SẴN XE GIAO NGAY – MIỄN PHÍ SẠC ĐẾN 2029 🔥,1 tỷ 229 triệu,1229000000,Cần phân tích
otodien_B2C,🔥🚗 VINFAST VF8 PLUS 2026 XANH LÁ – XE MỚI 100% !,983 triệu,983000000,Cần phân tích
otodien_B2C,🔥🚗 VINFAST VF8 ECO ĐEN NÓC ĐỒNG – XE MỚI 100%!,815 triệu,815000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 58000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,🚗 VINFAST VF3 NHỎ XINH -  Giá chỉ từ 253 Triệu đồng🤛️,253 triệu,253000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Plus - 34000 km,690 triệu,690000000,Cần phân tích
otodien_B2C,🚗✨ LIMO GREEN ƯU ĐÃI SỐC: GIẢM NGAY 60 TRIỆU 🎁,549 triệu,549000000,Cần phân tích
otodien_B2C,"🔥 VinFast LIMO – XE SẴN KHO, CHỐT NGAY GIAO LUÔN",644 triệu,644000000,Cần phân tích
otodien_B2C,🚨 Limo Green – GIÁ CHẠM ĐÁY CHỈ TỪ 618 TRIỆU ĐỒNG🚨,618 triệu,618000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus cũ - 60000 km,665 triệu,665000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Plus - 14000 km,690 triệu,690000000,Cần phân tích
otodien_B2C,"💨 VinFast VF8 Eco Plus – CÓ SẴN KHO, GIAO XE NGAY",836 triệu,836000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 18000 km,595 triệu,595000000,Cần phân tích
otodien_B2C,🚗⚡ VinFast EC Van – GIAO XE NGAY!,245 triệu,245000000,Cần phân tích
otodien_B2C,🔥 VF7 ECO 2026 MÀU XÁM – XE MỚI 100% | – GIÁ TỐT!,632 triệu,632000000,Cần phân tích
otodien_B2C,🔥 VF MPV 7 – XE SẴN – CHỐT NGAY KẺO LỠ!,612 triệu,612000000,Cần phân tích
otodien_B2C,"🔥🚗 VF MPV7 – XE SẴN, GIÁ TỐT NHẤT HÀ NỘI!",689 triệu,689000000,Cần phân tích
otodien_B2C,🔥🚗 VINFAST VF8 PLUS XÁM XI MĂNG – XE MỚI 100% !,949 triệu,949000000,Cần phân tích
otodien_B2C,🔥 VF8 ECO 1 CẦU MÀU ĐỎ – XE MỚI 100% | GIÁ TỐT!,785 triệu,785000000,Cần phân tích
otodien_B2C,VinFast VF5 2024 Plus - 40000 km,335 triệu,335000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Eco cũ - 63000 km,575 triệu,575000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 19000 km,1 tỷ 160 triệu,1160000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Plus - 20000 km,840 triệu,840000000,Cần phân tích
otodien_B2C,"🔥 VINFAST VF 9 NEW 100% – GIÁ TỐT, HỖ TRỢ TRẢ GÓP LINH HOẠT",1 tỷ 529 triệu,1529000000,Cần phân tích
otodien_B2C,"🚗 VINFAST VF 9 NEW 100% – SUV ĐIỆN HẠNG SANG, SẴN XE GIAO NGAY",1 tỷ 348 triệu,1348000000,Cần phân tích
otodien_B2C,"🚗 VINFAST VF 8 ALL NEW 100% – THIẾT KẾ MỚI, SẴN XE GIAO NGAY",1 tỷ 079 triệu,1079000000,Cần phân tích
otodien_B2C,"🔥 VINFAST VF 8 ALL NEW 100% – GIÁ TỐT, HỖ TRỢ TRẢ GÓP",898 triệu,898000000,Cần phân tích
otodien_B2C,"🚗 VINFAST VF 6 NEW 100% – SUV ĐIỆN HIỆN ĐẠI, SẴN XE GIAO NGAY 2026",646 triệu,646000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus cũ - 50000 km,735 triệu,735000000,Cần phân tích
otodien_B2C,🎯 VINFAST VF 2 NEW 100% – NHẬN TƯ VẤN VÀ CẬP NHẬT CHÍNH SÁCH MỚI NHẤT,188 triệu,188000000,Cần phân tích
otodien_B2C,"💥 VINFAST LIMO GREEN NEW 100% – HỖ TRỢ TRẢ GÓP, GIAO XE TOÀN QUỐC",699 triệu,699000000,Cần phân tích
otodien_B2C,"🚗 VINFAST VF 7 NEW 100% – SUV ĐIỆN THỂ THAO, CÔNG NGHỆ DẪN ĐẦU, SẴN SÀNG BÀN GIAO",840 triệu,840000000,Cần phân tích
otodien_B2C,🎯 VINFAST VF 5 NEW 100% – NHẬN BÁO GIÁ VÀ TƯ VẤN NGAY HÔM NAY,496 triệu,496000000,Cần phân tích
otodien_B2C,"💥 VINFAST VF 3 NEW 100% – HỖ TRỢ TRẢ GÓP, THỦ TỤC NHANH",296 triệu,296000000,Cần phân tích
otodien_B2C,"🔥 VINFAST VF 3 NEW 100% – GIÁ TỐT, SẴN XE GIAO NGAY",278 triệu,278000000,Cần phân tích
otodien_B2C,"🔥 VINFAST VF8 PLUS NEW 100% – HỖ TRỢ TRẢ GÓP, THỦ TỤC NHANH GỌN",1 tỷ 079 triệu,1079000000,Cần phân tích
otodien_B2C,🚗 VINFAST MINIO GREEN NEW 100% – XE ĐIỆN ĐÔ THỊ GIÁ TỐT,269 triệu,269000000,Cần phân tích
otodien_B2C,VinFast VF3 2024 thuê pin tiên phong - 20000 km,199 triệu,199000000,Cần phân tích
otodien_B2C,💥 VINFAST VF 6 NEW 100% – NHẬN BÁO GIÁ VÀ TƯ VẤN NGAY HÔM NAY,699 triệu,699000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 17000 km,1 tỷ 279 triệu,1279000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 24000 km,630 triệu,630000000,Cần phân tích
otodien_B2C,VinFast VF9 2023 Plus - 48000 km,990 triệu,990000000,Cần phân tích
otodien_B2C,"🔥 VINFAST VF 5 NEW 100% – NHỎ GỌN, TIẾT KIỆM, DỄ DÀNG SỞ HỮU",461 triệu,461000000,Cần phân tích
otodien_B2C,"💥 VINFAST VF MPV 7 NEW 100% – HỖ TRỢ TRẢ GÓP, THỦ TỤC NHANH GỌN",719 triệu,719000000,Cần phân tích
otodien_B2C,🎯 VINFAST VF 7 NEW 100% – LỰA CHỌN HOÀN HẢO CHO NGƯỜI YÊU XE ĐIỆN,740 triệu,740000000,Cần phân tích
otodien_B2C,VinFast VF7 2024 Eco cũ - 36000 km,630 triệu,630000000,Cần phân tích
otodien_B2C,"🚗 VINFAST VF 5 NEW 100% – SUV ĐIỆN QUỐC DÂN, TIẾT KIỆM, SẴN SÀNG BÀN GIAO",496 triệu,496000000,Cần phân tích
otodien_B2C,VinFast VF MPV 7 2026 - 18000 km,695 triệu,695000000,Cần phân tích
