list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
130989203,VF7,New,2026,Ho Chi Minh City,740000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF7 BAO NỢ XẤU-CÁ NHÂN DOANH NGHIỆP-TẶNG 150TR
133945523,VF5,New,2026,Ho Chi Minh City,471000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 5 BAO HỒ SƠ XẤU - VAY90-100%
131036637,Limo Green,New,2026,Ho Chi Minh City,664000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","LIMO GREEN,0Đ PHÍ SẠC-VỐN 91TR:""CHÌA KHÓA""LÀM GIÀU"
132356934,VF8,New,2026,Ho Chi Minh City,848000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF8 MUA XE DỄ DÀNG - HỖ TRỢ VAY ĐẾN 100%
132967337,VF6,New,2026,Ho Chi Minh City,586000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF6 Eco Xám , Sẵn xe giao ngay"
133924980,VF3,New,2026,Hanoi,250000000,,Not mentioned,11,10,269000000.0,224000000.0,277000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF3 plus trắng sx 2026
130998158,VF9,New,2026,Ho Chi Minh City,1348000000,,Not mentioned,29,10,1348000000.0,1245000000.0,1348000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF9: KHOANG THƯƠNG GIA – CÔNG NGHỆ TIÊN PHONG
134308073,VF3,New,2026,Ho Chi Minh City,260000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF3 sẵn xe , nhiều màu , giao ngay"
134319015,VF8,Used,2023,Ho Chi Minh City,555000000,76675.0,Not mentioned,19,8,645000000.0,585000000.0,679000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF8 Eco 2023 pin SDI giá còn Giảm
134230359,VF3,New,2026,Ho Chi Minh City,276000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast Vf3 2026 Trả trước 30Tr
133306725,VF3,New,2026,Ho Chi Minh City,179000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 3 Trắng Xe ô tô điện
133306158,VF6,New,2026,Ho Chi Minh City,545000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF6 5 chỗ Điện Đỏ Trắng 2026 giá tốt
134487805,VF3,New,2026,Ho Chi Minh City,290000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price","VF3 Plus Đỏ, Trắng, Xám, Xanh 47 Triệu nhận xe"
127164051,Limo Green,New,2026,Ho Chi Minh City,648000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast LimoGreen, trả trc từ 84tr, nhận xe ngay"
133306149,VF5,New,2026,Ho Chi Minh City,525000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast limo giá mới 2026 giá tốt
133306127,VF7,New,2026,Ho Chi Minh City,570000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast MVF 7 Trắng Xe ô tô điện
133309124,VF5,New,2026,Ho Chi Minh City,361000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Trắng Xe ô tô điện
132767615,Limo Green,New,2026,Ho Chi Minh City,664000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast Limo Green XE Sẵn Giao Ngay Bao Nợ Xấu
130934436,VF3,New,2026,Ho Chi Minh City,278000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF3 278TR XẢ KHO-TẶNG FUL PHỤ KIỆN-BAO NỢ XẤU
120559058,VF8,New,2026,Ho Chi Minh City,1079000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VF8 PLUS HỖ TRỢ VAY LÊN ĐẾN 90% NHẬN XE
132494349,VF8,New,2026,Ho Chi Minh City,750000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF8 NEW SẴN XE ĐỂ XEM SỜ TẬN TAY
134249107,VF7,New,2026,Ho Chi Minh City,800000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF7 Plus 2026 | Vay 95% - Bao hồ sơ khó
133740278,VF8,Used,2023,Ho Chi Minh City,678000000,56000.0,Purchase mentioned,19,8,645000000.0,585000000.0,679000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",[GF]-VF8 Plus 2023-ODO 5v6Km-Bảo hành chính hãng
134249754,VF8,New,2026,Ho Chi Minh City,840000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF8 All New 2026 Vay 95% | Giảm Mạnh
134477405,VF7,New,2026,Ho Chi Minh City,725000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Giá lăn bánh Vinfast VF7. Xe sẵn giao ngay
134232877,Limo Green,New,2026,Ho Chi Minh City,644000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast Limo Green 2026 Vay 95% - Bao nợ xấu
133316229,VF3,New,2026,Ho Chi Minh City,268000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF3 - GIÁ THẤP KỶ LỤC - 35 TRIỆU NHẬN XE
133316980,Limo Green,New,2026,Ho Chi Minh City,629000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST LIMO GREEN - XE SẴN KHO - 70 TRIỆU NHẬN XE
