list_id,cohort,crawl_date,is_trackable,model_source,family,condition,year,odo_km,region,seller_key,price_vnd,scope_eligible,price_eligible,review_reasons,battery_topic,financing_mention,promo_mention,subject
134575209,legacy_unknown_crawl_date,,False,VF5,VF5,New,2026,,Ho Chi Minh City,17458420,77000000,True,False,low_price_review,Not mentioned,True,False,VF5 NHẬN XE CHỈ TỪ 65tr - HỖ TRỢ NỢ XẤU
133375442,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2025,,Ho Chi Minh City,25755790,188000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,VF2 2026-CỌC TIÊN PHONG-ƯU ĐÃI NGAY 8 TRIỆU
134616364,legacy_unknown_crawl_date,,False,VF8,VF8,New,2026,,Ho Chi Minh City,10245595,158000000,True,False,upfront_price_match,Not mentioned,True,False,VinFast VF8 Đen Giao Sớm - Trả trước 158tr
134630884,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2026,0.0,Ho Chi Minh City,29626660,188000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,Xe điện VinFast VF2 Trắng
134347211,legacy_unknown_crawl_date,,False,VF7,VF7,New,2025,,Ho Chi Minh City,5453674,80000000,True,False,low_price_review; upfront_price_match,Not mentioned,True,True,VF7 2026 Pin chạy 450km - trả trước 80tr
134327657,legacy_unknown_crawl_date,,False,VF9,VF9,New,2025,,Ho Chi Minh City,5453674,229000000,True,False,upfront_price_match,Not mentioned,False,True,"VinFast VF9 Plus 2026 - 7c, chỉ cần 229tr"
134362470,legacy_unknown_crawl_date,,False,VF3,VF3,New,2025,,Ho Chi Minh City,5453674,33000000,True,False,low_price_review; upfront_price_match,Not mentioned,True,True,VinFast VF3 Plus 2026 Xám trả trước 33tr
133430676,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,17407422,650000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,True,True,VinFast MPV 7|Giảm hơn 100 Triệu|Từ 10 Triệu/tháng
134627226,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Hanoi,32556154,750000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,True,VinFast VF MPV 7
134610346,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Hanoi,2688886,180000000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,"VINFAST VF2 – XE ĐIỆN MINI NHỎ GỌN, LINH HOẠT"
123678489,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2025,,Ho Chi Minh City,27751358,664000000,False,False,unknown_ev_model,Not mentioned,True,False,LIMO SẲN XE VÀNG+ĐỎ+BẠC+ĐEN GIAO LIỀN
134536439,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,New,2026,,Ho Chi Minh City,17973966,732500000,False,False,unknown_ev_model; title_model_conflict,Not mentioned,False,False,VinFast MPV7 - TẶNG CAMERA 360
132919119,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,Used,2026,0.0,Can Tho City,29722912,54000000,True,False,low_price_review; upfront_price_match,Not mentioned,True,True,🔥Limo Green xe mới 100%.Chỉ trả trước 54tr NHẬN XE
133441395,legacy_unknown_crawl_date,,False,VF3,VF3,New,2026,,Can Tho City,29722912,31000000,False,False,title_model_conflict; low_price_review; upfront_price_match,Not mentioned,True,True,🔥VF2 xe mới 100%. Chỉ trả trước 31tr NHẬN XE NGAY
129082640,legacy_unknown_crawl_date,,False,VF5 Plus,VF5,Used,2026,0.0,Can Tho City,29722912,40000000,True,False,low_price_review,Not mentioned,True,True,🔥VF5 Plus mới 100%. Chỉ trảtrước 40tr NHẬNXE NGAY
134613782,legacy_unknown_crawl_date,,False,Dòng khác,Dòng khác,Used,2024,145000.0,Ho Chi Minh City,158624,425000000,False,False,unknown_ev_model,Not mentioned,False,False,VinFast VF6S 2024 Trắng 14.5v free sạc 12/2027
134611255,legacy_unknown_crawl_date,,False,VF3,VF3,New,2026,,Ho Chi Minh City,1169297,285000000,True,False,upfront_price_match,Not mentioned,True,True,"VinFast VF3 ECO CHỈ TỪ 285TR, TRẢ TRƯỚC CHỈ 45TR"
133327118,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,Used,2026,16.0,Ho Chi Minh City,19065850,46000000,True,False,low_price_review,Not mentioned,True,True,"Limo Green hỗ trợ nợ xấu, duyệt nhanh vay 90%"
131080054,legacy_unknown_crawl_date,,False,Limo Green,Limo Green,New,2026,6.0,Ho Chi Minh City,19065850,42000000,True,False,low_price_review,Not mentioned,False,True,"Vinfast Limo Green hỗ trợ hồ sơ nợ xấu,duyệt nhanh"
